name, rating, price
Aventura,4 star rating,$$
Sava’s,4 star rating,$$
Frita Batidos,4.5 star rating,$$
Mani Osteria & Bar,4 star rating,$$
Spencer,4.5 star rating,$$
Bellflower,5 star rating,$$
Tomukun Korean Barbeque,4 star rating,$$
Isalita,4 star rating,$$
Of Rice & Men,4 star rating,$$
Jolly Pumpkin Cafe & Brewery,4 star rating,$$
Jim Brady’s,4 star rating,$$
Haymaker Public House,4 star rating,$$
Tomukun Noodle Bar,4 star rating,$$
Detroit Street Filling Station,4.5 star rating,$$
Miss Kim,4 star rating,$$
Root,5 star rating,$$
Zingerman’s Delicatessen,4 star rating,$$
Taste Kitchen,4 star rating,$$$
The Seoul,4.5 star rating,$$$
Blue LLama Jazz Club,4.5 star rating,$$$
Kanbu Sushi Downtown,4.5 star rating,$$
Pacific Rim,4 star rating,$$$
Bao Boys,5 star rating,$$$
The Chop House,4 star rating,$$$$
Plate Sushi & Chicken,4.5 star rating,$$$$
eat,4 star rating,$$$$
The West End Grill,4 star rating,$$$
The Boro,4 star rating,$$$
Vinology Restaurant & Event Space,4 star rating,$$
Chapala Mexican Restaurant,4 star rating,$$
The Jagged Fork,4 star rating,$$
Vinology Restaurant & Event Space,4 star rating,$$
Kang’s Korean Restaurant,4 star rating,$$
Yee Siang Dumplings,3.5 star rating,$$
Side Biscuit,4.5 star rating,$$
Hola Seoul,4 star rating,$$
Mediterrano,4 star rating,$$
Eat,4.5 star rating,$$
Thompson & Co.,4.5 star rating,$$
Lan City Noodle Bar,3.5 star rating,$$
TAQ - Taqueria Restaurant & Bar,4 star rating,$$
Knight’s Steak House,4 star rating,$$
RAPPOURT,4 star rating,$$
Biercamp,4.5 star rating,$$
Everest Sherpa Restaurant,4.5 star rating,$$
Cardamom,4 star rating,$$
Momo Sushi,4.5 star rating,$$
Qmin,4.5 star rating,$$
Moon Cafe,4.5 star rating,$$
Anna’s House - Ann Arbor,4 star rating,$$